Playlist ID                                                                             | Trade | Year  | Module  | Title                                       | Description                                                                                                                                                                          | Youtube video link
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 1 Fasteners                                 | A comprehensive guide to understanding different types of mechanical fasteners used in engineering and workshop practice.                                                            | https://youtu.be/xTZel5XTsdo?si=smSdnBRgfP5Q8TxO
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 2 Screwdriver Types                         | A professional guide to understanding the various types, sizes, and correct applications of screwdrivers used in engineering workshops.                                              | https://youtu.be/tIjk2VCULww?si=Jp5UdCjNUjWEF4I-
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 3 Spanner Selection                         | A professional guide to understanding the types, sizes, and correct selection of spanners for various engineering and workshop applications.                                         | https://youtu.be/UGesbLebrNQ?si=aEQds7Es0gEHTrNh
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 4 Torque Maintenance Principles             | A comprehensive look at torque principles, their importance in maintaining tightness and safety, and best practices for torque wrench usage and calibration in industrial settings.  | https://youtu.be/7yUpiaRMoOQ?si=36V4DhV5bEbreWie
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 5 Manual for Industrial Key                 | A professional operational manual explaining the types, engineering specifications, and correct installation methods of industrial keys in mechanical assemblies.                    | https://youtu.be/s18wskl8yB8?si=KqSVLQC3ixd5glbj
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 6 Nut Locking Devices                       | A professional engineering guide to the various types, mechanisms, and workshop applications of positive and frictional nut locking devices.                                         | https://youtu.be/sZR48VNTThw?si=5tXJOZSpnObLlyCY
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 7 Special Files Precision Fitting           | A professional guide to the characteristics, selection, and precise application of special files used in high-tolerance precision fitting operations.                                | https://youtu.be/oflf6dIJYpM?si=uHM1O-H6LH6p0dbA
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 8 Applications of Slip Gauges               | A comprehensive guide to the types, engineering specifications, and precise application of feeler gauges used for measuring and ensuring correct clearances in mechanical assemblies.| https://youtu.be/gUwyPhTxunk?si=nE_dWbEguRu71X9f
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 9 Templates and Precision Gauging Techniques| A professional overview of template design, layout inspection, and advanced precision gauging techniques used to maintain high accuracy in workshop manufacturing.                   | https://youtu.be/tWH7-tcwO18?si=Rt693jdv_mycMrzn
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 10 Accessories of Slip Gauges               | A professional guide to the essential accessories, holders, and attachments used to extend the measurement capabilities of slip gauges in precision engineering.                     | https://youtu.be/VvPPJiKALyA?si=9hk8Pf2ExoY89t_S
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 11 Sine Bar                                 | A professional engineering guide to the principles, setup, and precise angular measurement applications of a sine bar in workshop inspection.                                        | https://youtu.be/u-SDCfPTeog?si=gb7t3yVphKLhadpJ
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 12 Industrial Quality Standards             | A professional overview of global quality management systems, inspection standards, and quality control protocols essential for industrial manufacturing and engineering.            | https://youtu.be/SPZVTt7FEtc?si=VKHMeNEYg-mDqM0S
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 13 Precision Flat Lapping                   | A professional technical guide to the principles, abrasive compounds, and surface finishing techniques used in precision flat lapping operations.                                    | https://youtu.be/HpS8c-OsKJo?si=qMnJNf0L7o1-Klgt
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 14 Precision Lapping of External            | A professional technical guide to the methods, tools, and abrasive techniques required for high-accuracy precision lapping on external cylindrical and flat surfaces.                | https://youtu.be/Yms12cxm13I?si=1YjAIHk51jwX6k7k
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 15 Surface Texture and Measurement          | A professional engineering guide to understanding surface roughness parameters, texture characteristics, and precision measurement instruments used in quality control.              | https://youtu.be/S5x8rjdXGvg?si=B_NUFzi0ZHo7zpUI
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 16 Practice of Precision Honing             | A professional technical guide to the operational methods, abrasive stones, and surface finishing techniques used in precision honing practices for high-accuracy bores.             | https://youtu.be/ndrPOaFDn70?si=C6voJAFCHe9t4dSU
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 17 Frosting and Flaking Techniques          | A professional technical guide to the manual scraping, frosting, and flaking techniques used to create oil-retaining textures on precision machine way surfaces.                     | https://youtu.be/s-jeXPROJSk?si=pwi8kzq9PeXuNi2J
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 18 Heat Treatment                           | A professional engineering guide to the metallurgic principles, heating cycles, and cooling processes used in industrial heat treatment of steels.                                   | https://youtu.be/E_Z1bq1hI2w?si=UZO_kgAKRnJX_ajM
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 19 Surface Hardening Steel                  | A professional engineering guide to the chemical and thermal surface hardening methods used to increase the wear resistance of steel components.                                     | https://youtu.be/U0h9546z3yc?si=T7GcaDql17ejKi1e
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 20 Tapers, Keys, and Cotters                | A professional engineering guide to the design standards, structural functions, and practical applications of tapers, keys, and cotter joints in mechanical assemblies.              | https://youtu.be/LCy4lFesw4w?si=cF6-LOXhk9Lb4fcp
https://youtube.com/playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 21 Metal Surface Protection and Corrosion   | A professional engineering guide to understanding the causes of metal corrosion and the commercial coating methods used for effective surface protection.                            | https://youtu.be/d4AaZ_IME9M?si=S8HyCpePwu7ZDlYm
