Playlist ID                                                         | Trade | Year  | Module  | Title                                                | Description                                                                                                                                                                               | Youtube video link| Google Forms
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 1 Fasteners                                          | A comprehensive guide to understanding different types of mechanical fasteners used in engineering and workshop practice.                                                                 | xTZel5XTsdo?si=smSdnBRgfP5Q8TxO|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 2 Screwdriver Types                                  | A professional guide to understanding the various types, sizes, and correct applications of screwdrivers used in engineering workshops.                                                   | tIjk2VCULww?si=Jp5UdCjNUjWEF4I-|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 3 Spanner Selection                                  | A professional guide to understanding the types, sizes, and correct selection of spanners for various engineering and workshop applications.                                              | UGesbLebrNQ?si=aEQds7Es0gEHTrNh|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 4 Torque Maintenance Principles                      | A comprehensive look at torque principles, their importance in maintaining tightness and safety, and best practices for torque wrench usage and calibration in industrial settings.       | 7yUpiaRMoOQ?si=36V4DhV5bEbreWie|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 5 Manual for Industrial Key                          | A professional operational manual explaining the types, engineering specifications, and correct installation methods of industrial keys in mechanical assemblies.                         | s18wskl8yB8?si=KqSVLQC3ixd5glbj|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 6 Nut Locking Devices                                | A professional engineering guide to the various types, mechanisms, and workshop applications of positive and frictional nut locking devices.                                              | sZR48VNTThw?si=5tXJOZSpnObLlyCY|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 7 Special Files Precision Fitting                    | A professional guide to the characteristics, selection, and precise application of special files used in high-tolerance precision fitting operations.                                     | oflf6dIJYpM?si=uHM1O-H6LH6p0dbA|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 8 Applications of Slip Gauges                        | A comprehensive guide to the types, engineering specifications, and precise application of feeler gauges used for measuring and ensuring correct clearances in mechanical assemblies.     | gUwyPhTxunk?si=nE_dWbEguRu71X9f|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 9 Templates and Precision Gauging Techniques         | A professional overview of template design, layout inspection, and advanced precision gauging techniques used to maintain high accuracy in workshop manufacturing.                        | tWH7-tcwO18?si=Rt693jdv_mycMrzn|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 10 Accessories of Slip Gauges                        | A professional guide to the essential accessories, holders, and attachments used to extend the measurement capabilities of slip gauges in precision engineering.                          | VvPPJiKALyA?si=9hk8Pf2ExoY89t_S|
playlist?list=PL82K0I4-0q_zRmlXBWjtwb2b6eQut7oBG&si=l1jnubB_4cV7mvUK| FITTER| Year 2| Module 1| 11 Sine Bar                                          | A professional engineering guide to the principles, setup, and precise angular measurement applications of a sine bar in workshop inspection.                                             | u-SDCfPTeog?si=gb7t3yVphKLhadpJ|
