Playlist ID                                                                             | Trade | Year  | Module  | Title                                      | Description                                                                                                                                                                    | Youtube video link
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 1 Non Ferrous Metal                        | A professional metallurgy guide to the properties, industrial grade classifications, and mechanical engineering applications of common non-ferrous metals and alloys.          | https://youtu.be/fuMhvn8ZeEM?si=NQzpR93jRXIrzBj_
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 2 Power Transmission Belts                 | A professional engineering guide to the material specifications, tracking adjustments, and application criteria of flat and synchronous belts in industrial power transmission.| https://youtu.be/Vyb5Mgpifkc?si=a_HyNpc4RBh0hia7
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 3 V Belt Mechanics                         | A professional engineering guide to the tension calculations, wedge action mechanics, and maintenance protocols of industrial V-belt drives.                                   | https://youtu.be/_ibmBULf4rk?si=npV80ibNcI7-28ZV
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 4 Mechanical Shaft Coupling                | A professional engineering guide to the functional types, alignment protocols, and torque-transmission applications of rigid and flexible mechanical shaft couplings.          | https://youtu.be/dFkoWPkdnw0?si=iySdBcT8exPFG0Qy
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 5 Pulley and Clutches                      | A professional engineering guide to the operational mechanics, structural types, and industrial applications of pulleys and clutches in power transmission systems.            | https://youtu.be/mwgwCWao21I?si=v1vsbeECH_tLAJhD
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 6 Power Transmission                       | A professional engineering guide to the mechanisms, mechanical efficiency, and industrial applications of belts, chains, shafts, and gear drives in power transmission.        | https://youtu.be/NJPheLoEWLA?si=naTB_umP82Dzj_xE
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 7 Proportions of Spur Gear                 | A professional engineering guide to the geometric formulas, module calculations, and tooth proportions required for precise spur gear design and manufacturing.                | https://youtu.be/2LU0GtqwaWY?si=YBa0UHNUXa4mk4cC
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 8 Gear Classification and Repair Techniques| A professional engineering guide to the functional classification of industrial gears and the technical methods used for tooth profile repair and maintenance.                 | https://youtu.be/51aweKPKmeA?si=CECxlZbXK-35jkea
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 9 Gear Assembly                            | A professional engineering guide to the alignment protocols, backlash verification, and mounting methods used in industrial gear assembly systems.                             | https://youtu.be/HF3hjM3GXIc?si=La96MP3AA3cCUwhS
https://youtube.com/playlist?list=PL82K0I4-0q_xUvIDO8tAxpsXFP34S1QFY&si=tgm48EwD6Ad52hSq| Fitter| Year 2| Module 5| 10 Pneumatics and Hydraulics               | A professional engineering guide to the working principles, component functions, and fluid power system controls used in industrial pneumatics and hydraulics.                 | https://youtu.be/NKsCMzvCRtc?si=kILkBNxLr2UYJPjm
