Playlist ID                                                                             | Trade | Year  | Module  | Title                                                | Description                                                                                                                                                                               | Youtube video link
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 1 Air Compressor                                     | A professional engineering guide to the working principles, structural configurations, and operational maintenance of industrial air compressors.                                         | https://youtu.be/dFJ2tNARbzo?si=Wget3Ukg8ZikBEMR
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 2 Pneumatic System                                   | A professional engineering guide to the layout design, compressed air generation, and operational control elements of industrial pneumatic systems.                                       | https://youtu.be/VZsj7Y_WBFY?si=5SgyJtfuf86kDxdN
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 3 Pneumatic Actuators                                | A professional engineering guide to the functional mechanisms, selection criteria, and linear or rotary force conversion applications of industrial pneumatic actuators.                  | https://youtu.be/T2-XOlOXR4Y?si=Qm8-3kMSFtSD4miJ
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 4 Single Acting Cylinder                             | A professional engineering guide to the structural design, spring-return mechanisms, and single-port fluid dynamics of pneumatic and hydraulic single-acting cylinders.                   | https://youtu.be/MnFId17B0ic?si=kmps_wZQRAHD0mP7
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 5 Double Acting Cylinder                             | A professional engineering guide to the structural design, port configurations, and dual-stroke fluid dynamics of pneumatic and hydraulic double-acting cylinders.                        | https://youtu.be/sWicB_t7RXc?si=WjrFa6bNuHA7tF7q
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 6 Pneumatic Directional Control Valves               | A professional engineering guide to the spool design, port configurations, and actuation methods of directional control valves in pneumatic automation circuits.                          | https://youtu.be/Xw294K59sik?si=vcIkWA-tU9GWbcsC
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 7 ISO 1219 Pneumatic Symbols                         | A professional engineering guide to interpreting and drafting standard fluid power circuit schematics using ISO 1219 pneumatic symbolic notation.                                         | https://youtu.be/k8cii9qMhrA?si=Tiu0EypRYtS0umxG
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 8 Non Return Valves                                  | A professional engineering guide to the operational mechanisms, pressure thresholds, and installation protocols of non-return and check valves in industrial fluid systems.               | https://youtu.be/7uw69-v9gKM?si=tB8-xfN_M6B66deZ
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 9 Hydraulic Flow Control Valves                      | A professional engineering guide to the design, needle and pressure-compensated mechanisms, and precise velocity-regulation applications of hydraulic flow control valves.                | https://youtu.be/Mt0H9jdnnRY?si=2-liLuG7-f0ivuvb
https://youtube.com/playlist?list=PL82K0I4-0q_y97i6UKhrWOiaW8y0HdMlL&si=lOWZhGlj2IOlnJV6| FITTER| Year 2| Module 6| 10 Pneumatic and Hydraulic Control Valves            | A professional engineering guide to the operational mechanisms, circuit configurations, and functional selection of pressure, flow, and directional control valves in fluid power systems.| https://youtu.be/bVvyezxJISA?si=fDGn0Bm-6GVgHXNP
